,Pais,Total Fallecidos Vias Respiratorias,Media Fallecidos Vias Respiratorias,Total Fallecidos Sepsis,Media Fallecidos Sepsis,Total Fallecidos Meningitis Encefalitis,Media Fallecidos Meningitis Encefalitis,Total Fallecidos Malaria,Media Fallecidos Malaria,Total Fallecidos Sarampion,Media Fallecidos Sarampion,Total Fallecidos VIH,Media Fallecidos VIH,Total Fallecidos Diarrea,Media Fallecidos Diarrea,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años"
35,Central African Republic,58408,3244.8888888888887,19555,1086.388888888889,15269,848.2777777777778,114771,6376.166666666667,13258,736.5555555555555,20134,1118.5555555555557,40088,2227.1111111111113,39.65853658536585,27.692307692307693,41.58536585365854,NaN,15.1875,16.2,40.170731707317074,64.02439024390245,2.04,0.48,0.60875,2.355,0.0325,11.0,15.093750000000004,11.41081081081081,18.825,49.5 ,115396,3273
36,Chad,311151,17286.166666666668,50071,2781.722222222222,75350,4186.111111111111,151263,8403.5,34478,1915.4444444444443,20000,1111.111111111111,211463,11747.944444444445,25.78048780487805,NaN,26.73170731707317,NaN,14.0,14.933333333333334,23.414634146341463,40.26829268292683,0.0,0.65,0.3743846153846153,1.8782307692307691,0.047428571428571424,4.0,NaN,11.47783783783784,3.4799999999999995,53.0 ,387567,11123
37,Chile,2284,126.88888888888889,1203,66.83333333333333,595,33.05555555555556,0,0.0,0,0.0,52,2.888888888888889,170,9.444444444444445,91.5609756097561,59.30769230769231,91.70731707317073,67.19047619047619,41.03125,74.9,91.60975609756098,93.5609756097561,0.12,1.04,25.132166666666667,76.95975,3.914666666666667,22.857894736842105,5.76875,3.125945945945946,NaN,21.0 ,3721,8
38,China,913954,50775.22222222222,58304,3239.1111111111113,77115,4284.166666666667,78,4.333333333333333,28746,1597.0,7228,401.55555555555554,236571,13142.833333333334,84.14634146341463,NaN,80.7560975609756,69.14285714285714,56.25,NaN,80.78048780487805,79.8780487804878,,,13.658000000000001,13.948666666666668,2.9080952380952385,25.47222222222222,5.275,2.54972972972973,23.1,49.2 ,1800455,49195
39,Colombia,29852,1658.4444444444443,20066,1114.7777777777778,4331,240.61111111111111,249,13.833333333333334,0,0.0,650,36.111111111111114,10563,586.8333333333334,78.29268292682927,60.53846153846154,77.0,77.14285714285714,68.34375,62.1,75.48780487804878,84.48780487804878,NaN,NaN,19.233357142857137,9.590312500000003,,15.822222222222223,10.200000000000001,4.755675675675676,18.849999999999998,15.2 ,62385,1478
40,Comoros,7015,389.72222222222223,2337,129.83333333333334,1400,77.77777777777777,438,24.333333333333332,0,0.0,36,2.0,4052,225.11111111111111,65.04878048780488,NaN,60.51219512195122,NaN,42.4375,30.5,64.02439024390245,73.60975609756098,1.63,0.68,1.85575,6.9955,0.246,21.8,24.949999999999996,8.452972972972972,8.266666666666667,18.6 ,5720,155
41,Congo,29581,1643.388888888889,9295,516.3888888888889,4014,223.0,21184,1176.888888888889,9397,522.0555555555555,16538,918.7777777777778,17715,984.1666666666666,59.926829268292686,41.07692307692308,57.31707317073171,0.42857142857142855,30.21875,27.666666666666668,59.951219512195124,72.63414634146342,NaN,NaN,2.4663333333333335,10.02088888888889,0.29849999999999993,16.0,12.4875,9.912972972972971,24.066666666666663,38.7 ,40840,1142
42,Cook Islands,9,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,86.46341463414635,NaN,80.39024390243902,84.14285714285714,86.59375,35.43333333333333,85.46341463414635,88.97560975609755,NaN,NaN,11.34675,60.68339999999999,0.8179999999999998,NaN,3.6000000000000014,NaN,NaN,12.0 ,24,1
43,Costa Rica,769,42.72222222222222,432,24.0,134,7.444444444444445,0,0.0,0,0.0,6,0.3333333333333333,242,13.444444444444445,86.97560975609755,73.15384615384616,85.53658536585365,50.714285714285715,64.28125,63.46666666666667,87.39024390243902,84.29268292682927,0.695,0.84,20.806928571428575,23.293999999999997,6.399,13.004999999999999,7.062500000000001,4.158918918918918,32.5,15.9 ,1627,16
44,Côte d'Ivoire,217853,12102.944444444445,98020,5445.555555555556,42057,2336.5,282455,15691.944444444445,25978,1443.2222222222222,85906,4772.555555555556,143386,7965.888888888889,53.09756097560975,30.692307692307693,52.951219512195124,NaN,42.5625,29.033333333333335,53.5609756097561,64.48780487804878,12.004999999999999,1.71,1.5094285714285716,5.437090909090909,0.4216666666666666,4.0,16.49375,11.181621621621622,8.557142857142857,23.7 ,580373,16533
