",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"""
"Philippines,""5.4 "",""5.6 "",""5.7 "",""5.9 """
"Poland,""1.1 "",""1.1 "",""1.1 "",""1.1 """
"Portugal,""0.8 "",""0.9 "",""0.9 "",""0.9 """
"Qatar,""1.4 "",""1.5 "",""1.6 "",""1.7 """
"Republic of Korea,""0.8 "",""0.8 "",""0.8 "",""0.9 """
"Republic of Moldova,""2.3 "",""2.3 "",""2.4 "",""2.4 """
"North Macedonia,""1.3 "",""1.3 "",""1.3 "",""1.3 """
"Romania,""1.8 "",""1.9 "",""1.9 "",""2.0 """
"Russian Federation,""2.2 "",""2.3 "",""2.4 "",""2.5 """
"Rwanda,""10.4 "",""11.0 "",""11.7 "",""12.5 """
"Saint Kitts and Nevis,""2.3 "",""2.4 "",""2.4 "",""2.5 """
"Saint Lucia,""2.3 "",""2.4 "",""2.5 "",""2.5 """
"Saint Vincent and the Grenadines,""5.1 "",""5.2 "",""5.1 "",""5.1 """
"Samoa,""3.5 "",""3.6 "",""3.7 "",""3.8 """
"San Marino,""0.6 "",""0.7 "",""0.7 "",""0.7 """
"Sao Tome and Principe,""7.9 "",""8.2 "",""8.5 "",""8.8 """
"Saudi Arabia,""1.6 "",""1.7 "",""1.8 "",""1.9 """
"Senegal,""13.1 "",""13.7 "",""14.5 "",""15.3 """
"Serbia,""1.2 "",""1.2 "",""1.3 "",""1.3 """
"Seychelles,""3.2 "",""3.3 "",""3.3 "",""3.3 """
"Sierra Leone,""21.2 "",""22.1 "",""23.2 "",""24.4 """
"Singapore,""0.7 "",""0.8 "",""0.8 "",""0.8 """
"Slovakia,""1.3 "",""1.3 "",""1.4 "",""1.4 """
"Slovenia,""0.7 "",""0.8 "",""0.8 "",""0.8 """
"Solomon Islands,""4.2 "",""4.3 "",""4.4 "",""4.5 """
"Somalia,""24.1 "",""24.8 "",""25.6 "",""26.4 """
"South Africa,""5.5 "",""6.0 "",""6.6 "",""7.2 """
"South Sudan,""20.1 "",""20.2 "",""20.3 "",""20.4 """
"Spain,""0.7 "",""0.7 "",""0.8 "",""0.8 """
"Sri Lanka,""1.5 "",""1.7 "",""1.9 "",""2.1 """
"Sudan,""8.0 "",""8.3 "",""8.5 "",""8.9 """
"Suriname,""3.1 "",""3.2 "",""3.3 "",""3.4 """
"Sweden,""0.8 "",""0.8 "",""0.8 "",""0.8 """
"Switzerland,""0.7 "",""0.7 "",""0.7 "",""0.7 """
"Syrian Arab Republic,""11.8 "",""15.5 "",""19.3 "",""21.1 """
"Tajikistan,""4.5 "",""4.6 "",""4.8 "",""4.9 """
"Thailand,""4.5 "",""4.6 "",""4.7 "",""4.8 """
"Timor-Leste,""7.9 "",""8.1 "",""8.4 "",""8.7 """
"Togo,""20.6 "",""21.2 "",""21.8 "",""22.4 """
"Tonga,""3.5 "",""3.6 "",""3.6 "",""3.7 """
"Trinidad and Tobago,""2.4 "",""2.4 "",""2.5 "",""2.6 """
"Tunisia,""2.9 "",""3.0 "",""3.1 "",""3.2 """
"Turkey,""2.0 "",""2.1 "",""2.2 "",""2.4 """
"Turkmenistan,""3.6 "",""3.6 "",""3.7 "",""3.7 """
"Tuvalu,""4.8 "",""5.0 "",""5.1 "",""5.3 """
"Uganda,""14.6 "",""15.0 "",""15.4 "",""15.9 """
"Ukraine,""1.7 "",""1.8 "",""1.9 "",""2.0 """
"United Arab Emirates,""1.5 "",""1.5 "",""1.5 "",""1.6 """
"United Kingdom of Great Britain and Northern Ireland,""0.8 "",""0.8 "",""0.8 "",""0.8 """
"United Republic of Tanzania,""12.6 "",""12.9 "",""13.1 "",""13.4 """
"United States of America,""1.3 "",""1.3 "",""1.3 "",""1.3 """
"Uruguay,""1.7 "",""1.8 "",""1.8 "",""1.8 """
"Uzbekistan,""3.3 "",""3.4 "",""3.4 "",""3.4 """
"Vanuatu,""5.1 "",""5.3 "",""5.4 "",""5.5 """
"Venezuela (Bolivarian Republic of),""3.1 "",""3.1 "",""3.1 "",""3.1 """
"Viet Nam,""2.7 "",""2.8 "",""2.9 "",""3.0 """
"Yemen,""7.8 "",""7.8 "",""7.8 "",""9.8 """
"Zambia,""11.8 "",""12.2 "",""12.7 "",""13.1 """
"Zimbabwe,""12.7 "",""13.1 "",""13.5 "",""13.9 """
