,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Ethiopia,24.23,24.92,25.08,23.92,22.27,19.88,20.66,15.11,16.71,15.64,13.45,11.98,8.66,6.65,5.88,5.84,5.26,5.62,5.38
Fiji,214.55,194.44,185.35,179.22,188.83,167.82,162.41,148.83,135.18,128.81,143.77,150.66,135.93,129.11,117.68,91.40,73.05,64.19,77.02
Finland,4515.68,4233.47,4107.06,4127.15,4922.68,4892.10,4572.52,4715.94,4249.60,4347.12,4481.22,3911.97,3407.67,3228.95,3035.98,2606.78,2054.26,1806.05,1722.83
France,4690.07,4424.51,4268.17,4208.39,4998.67,4901.93,4651.11,4939.31,4598.32,4741.42,4812.54,4318.74,3814.28,3575.03,3458.63,3006.31,2449.76,2192.72,2161.85
Gabon,218.37,200.56,216.91,196.17,244.43,275.02,237.60,276.12,218.86,297.42,285.39,266.21,223.30,199.59,190.87,174.10,137.28,125.77,127.64
Gambia,22.16,22.71,21.80,20.99,22.47,27.42,31.42,33.14,35.22,36.95,42.96,38.61,35.87,35.80,34.73,30.87,39.56,41.45,50.87
Georgia,312.75,285.99,301.55,275.84,345.26,334.69,326.48,296.69,271.02,257.06,268.14,186.62,145.05,126.45,100.87,77.73,64.06,55.22,51.85
Germany,5472.20,5052.67,4742.03,4622.21,5304.32,5096.82,4762.85,5036.48,4611.81,4674.78,4669.64,4182.80,3697.92,3558.20,3459.81,3152.78,2567.49,2346.61,2344.35
Ghana,77.91,67.46,66.86,81.62,80.73,109.95,91.01,100.25,81.50,67.71,68.42,60.10,50.95,44.71,29.50,25.50,21.03,20.92,17.86
Greece,1566.90,1505.94,1488.20,1452.07,1705.11,1813.88,1948.25,2338.92,2564.37,2809.06,2840.51,2426.76,2052.88,1935.27,1782.70,1566.41,1168.82,1004.82,885.41
Grenada,474.53,466.75,427.51,422.72,399.53,438.28,433.51,423.12,393.33,396.14,421.84,377.76,340.40,341.90,308.15,300.36,322.01,283.48,270.98
Guatemala,259.62,259.91,241.78,229.81,213.94,196.14,198.47,189.24,173.75,168.18,174.78,158.33,148.71,132.33,122.26,113.61,107.96,100.39,83.96
Guinea,38.32,36.51,39.56,44.69,37.69,26.61,24.30,24.68,23.05,24.11,23.33,22.65,16.37,20.00,26.85,25.98,25.12,22.11,23.26
Guinea-Bissau,53.29,50.57,50.62,51.84,59.30,43.97,35.53,43.17,36.09,39.16,41.71,36.35,30.46,31.53,31.06,24.20,20.14,19.84,20.70
Guyana,295.56,263.26,233.52,223.68,214.20,206.01,195.22,190.93,176.95,154.47,143.81,129.23,101.89,87.48,79.28,68.69,65.68,60.87,63.15
Haiti,64.25,62.73,59.13,67.40,64.02,58.36,73.76,75.71,54.92,40.94,39.96,37.11,28.72,24.89,23.68,18.32,21.99,26.91,29.78
Honduras,176.25,171.51,180.17,172.29,174.60,178.24,185.63,183.60,166.16,161.00,149.65,127.99,112.45,98.12,83.48,79.80,70.82,67.20,68.52
Hungary,1081.80,981.04,914.19,870.52,1006.16,990.63,961.14,1063.43,983.11,943.69,1117.20,1003.26,893.20,895.20,798.45,682.87,473.13,359.70,313.11
Iceland,6530.93,6109.91,5067.69,4281.58,4474.37,4028.83,3705.38,3866.71,3644.80,3693.56,4946.06,6085.48,5071.87,5213.48,4497.97,3955.02,3091.29,2557.27,2873.85
India,72.83,69.32,60.60,58.92,57.07,56.12,48.95,48.60,45.13,38.30,37.88,35.86,29.56,27.67,25.06,22.00,20.24,19.80,18.50
Indonesia,111.68,110.05,109.94,99.66,108.84,107.29,107.24,107.67,92.45,65.10,61.95,58.18,46.20,35.51,27.17,26.67,19.90,17.69,16.20
